Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,IncomeGroup
Australia,AUS,18606562977.0,19682883149.0,19922563188.0,21539843446.0,23801123808.0,25976164156.0,27307844369.0,30442724871.0,32714085234.0,36683365869.0,41333606613.0,45216647235.0,52040887850.0,63830877643.0,88963890936.0,97303017889.0,105000000000.0,110000000000.0,118000000000.0,135000000000.0,150000000000.0,177000000000.0,194000000000.0,177000000000.0,194000000000.0,181000000000.0,182000000000.0,189000000000.0,236000000000.0,300000000000.0,311000000000.0,326000000000.0,326000000000.0,312000000000.0,323000000000.0,368000000000.0,401000000000.0,436000000000.0,400000000000.0,390000000000.0,416000000000.0,380000000000.0,396000000000.0,468000000000.0,615000000000.0,696000000000.0,748000000000.0,855000000000.0,1060000000000.0,929000000000.0,1150000000000.0,1400000000000.0,1550000000000.0,1580000000000.0,1470000000000.0,1350000000000.0,1210000000000.0,1330000000000.0,1430000000000.0,1390000000000.0,1330000000000.0,1560000000000.0,1690000000000.0,1720000000000.0,East Asia & Pacific,High income
Austria,AUT,6650133915.0,7375454614.0,7823686765.0,8447136820.0,9249879079.0,10081145818.0,10982543233.0,11680319625.0,12549016579.0,13701141219.0,15373005557.0,17858486067.0,22059612477.0,29515467707.0,35189299912.0,40059206763.0,42959976222.0,51545758888.0,62052259073.0,73937296963.0,82058912997.0,71034228443.0,71275287570.0,72121016547.0,67985344887.0,69386774408.0,99036164939.0,124000000000.0,133000000000.0,133000000000.0,166000000000.0,174000000000.0,195000000000.0,190000000000.0,204000000000.0,241000000000.0,237000000000.0,213000000000.0,218000000000.0,217000000000.0,197000000000.0,198000000000.0,214000000000.0,262000000000.0,301000000000.0,316000000000.0,336000000000.0,389000000000.0,432000000000.0,402000000000.0,392000000000.0,432000000000.0,409000000000.0,430000000000.0,443000000000.0,382000000000.0,396000000000.0,417000000000.0,455000000000.0,445000000000.0,435000000000.0,479000000000.0,471000000000.0,516000000000.0,Europe & Central Asia,High income
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848485.0,5344000000.0,444658671.6,1570392598.0,1193141110.0,2417331193.0,3176507376.0,3962362387.0,4446368571.0,4581248567.0,5272615723.0,5707616204.0,6236087738.0,7276413079.0,8680405741.0,13245421881.0,20981929498.0,33049419431.0,48851293785.0,44292427185.0,52909294792.0,65952796428.0,69679944504.0,74160560124.0,75239785452.0,53076235355.0,37866996883.0,40866627352.0,47112470052.0,48174235294.0,42693000000.0,54825411765.0,78807470588.0,72356176471.0,Europe & Central Asia,Upper middle income
Burundi,BDI,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994963.0,165444571.4,178297142.9,183200000.0,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222.0,1082926304.0,987143931.2,1149979286.0,1201725497.0,1131466494.0,1082403219.0,1113924130.0,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1781455140.0,2032135192.0,2235820809.0,2333341334.0,2451606632.0,2705783330.0,3104003546.0,2644487777.0,2723586963.0,2667182200.0,2576518880.0,2649680261.0,2775798697.0,3338722828.0,2642161669.0,Sub-Saharan Africa,Low income
Belgium,BEL,11810619368.0,12561701694.0,13436827167.0,14445805381.0,16168044450.0,17597783297.0,18894891312.0,20252508995.0,21654856965.0,24019653475.0,26706196047.0,29821661870.0,37209418019.0,47743801490.0,56033077879.0,65678189097.0,71113882968.0,82839905459.0,101000000000.0,116000000000.0,127000000000.0,105000000000.0,92095926188.0,87184239053.0,83349530159.0,86268264148.0,120000000000.0,149000000000.0,162000000000.0,164000000000.0,205000000000.0,211000000000.0,235000000000.0,225000000000.0,245000000000.0,288000000000.0,279000000000.0,253000000000.0,259000000000.0,258000000000.0,237000000000.0,237000000000.0,258000000000.0,318000000000.0,369000000000.0,386000000000.0,408000000000.0,471000000000.0,517000000000.0,483000000000.0,481000000000.0,523000000000.0,496000000000.0,522000000000.0,535000000000.0,462000000000.0,476000000000.0,503000000000.0,543000000000.0,536000000000.0,526000000000.0,601000000000.0,584000000000.0,632000000000.0,Europe & Central Asia,High income
Benin,BEN,226195578.4,235668220.5,236434954.0,253927697.3,269819005.9,289908680.4,302925235.2,306221953.1,326323105.3,330748244.5,333627713.5,335073027.5,410331857.0,504376074.2,554654860.7,676870140.3,698408261.9,750049778.8,928843469.4,1186231020.0,1405251847.0,1291120188.0,1267778670.0,1095348199.0,1051134009.0,1045712789.0,1336102025.0,1562412228.0,1620246084.0,1502294416.0,1959965330.0,1986437797.0,1695315306.0,2274558083.0,1598075944.0,2169627138.0,2361116449.0,2268301646.0,2455092686.0,3677393999.0,3519991440.0,3666222635.0,4194342686.0,5349258094.0,6190270380.0,6567654954.0,7034111315.0,8169048383.0,9787734526.0,9738626517.0,9535345016.0,10693321364.0,11141358116.0,12517845124.0,13284527847.0,11388160997.0,11821065853.0,12701655837.0,14262408090.0,14390708751.0,15686741884.0,17687623530.0,17425418044.0,19673284686.0,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,330442815.8,350247234.3,379567099.2,394040667.1,410321645.0,422916789.7,433889766.2,450753923.5,460442689.4,478298645.4,458404268.8,482411179.1,578595522.0,674773569.9,751133430.4,939972703.5,976547188.1,1131224878.0,1475583645.0,1748480621.0,1928719888.0,1775842334.0,1754450096.0,1600278605.0,1459880132.0,1552493196.0,2036303358.0,2369834950.0,2616040479.0,2615587734.0,3101300779.0,3135045584.0,3356692505.0,3199536465.0,1895290637.0,2379517975.0,2586550595.0,2447669102.0,2804902367.0,3389566713.0,2968370088.0,3190371081.0,3622350063.0,4740768143.0,5451688538.0,6146353173.0,6547419820.0,7625722837.0,9451435490.0,9450696873.0,10109619741.0,12080295978.0,12561015157.0,13444300486.0,13943016077.0,11832159316.0,12833363045.0,14106955615.0,15890066221.0,16032813502.0,17725010531.0,19643166854.0,18820219331.0,20324617839.0,Sub-Saharan Africa,Low income
Bangladesh,BGD,4274894083.0,4817580375.0,5081413542.0,5319458563.0,5386054833.0,5906636792.0,6439687854.0,7253575688.0,7483685771.0,8471006438.0,8992722167.0,8751843188.0,6288245867.0,8086725729.0,12512460520.0,19448348073.0,10117113333.0,9651149302.0,13281767143.0,15565480322.0,18138049096.0,20249694002.0,18525399202.0,17609048822.0,18920840000.0,22278423077.0,21774033333.0,24298032258.0,26579005558.0,28781715189.0,31598340778.0,30957483950.0,31708874594.0,33166519418.0,33768660883.0,37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69476001430.0,71795735672.0,79611644984.0,91636997445.0,102000000000.0,115000000000.0,129000000000.0,133000000000.0,150000000000.0,173000000000.0,195000000000.0,265000000000.0,294000000000.0,321000000000.0,351000000000.0,374000000000.0,416000000000.0,460000000000.0,437000000000.0,South Asia,Lower middle income
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,19839230769.0,19870000000.0,19342000000.0,16563666667.0,17594944444.0,17155421053.0,20249294118.0,28101000000.0,22555941176.0,21988444444.0,20632090909.0,10943548387.0,10350515464.0,10832064942.0,9697416974.0,18991484420.0,12294964838.0,11316127379.0,15031055047.0,13627325461.0,13245990274.0,14183446026.0,16403043850.0,21144957990.0,26157743369.0,29868657858.0,34380536496.0,44432811756.0,54480684188.0,52023801230.0,50760929303.0,57737040780.0,54288135059.0,55852123990.0,57157782910.0,50811995689.0,53964253212.0,59309748166.0,66370132238.0,68881010246.0,70368758395.0,84041493016.0,90346169915.0,102000000000.0,Europe & Central Asia,High income
Bahrain,BHR,,,,,,,,,,,391577364.8,422181562.1,534081183.6,761132544.6,1042176883.0,1099107600.0,1581709519.0,1989060283.0,2272042966.0,2710160740.0,3493834467.0,3943109532.0,4145421080.0,4247030467.0,4440874567.0,4152376484.0,3470746844.0,3856922695.0,4209834174.0,4393093962.0,4809511005.0,5248911170.0,5402232447.0,5913001064.0,6330627926.0,6651180851.0,6938166755.0,7219407713.0,7031309043.0,7528469149.0,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,25713271277.0,28776595745.0,30749308511.0,32539468085.0,33387712766.0,31125851064.0,32250132979.0,35423643617.0,37802005319.0,38653318085.0,34621807713.0,39288670213.0,44383297872.0,43205000000.0,Middle East & North Africa,High income
"Bahamas, The",BHS,169803921.6,190098039.2,212254902.0,237745098.0,266666666.7,300392156.9,340000000.0,390196078.4,444901960.8,528137254.9,538423153.7,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10395800000.0,10974100000.0,11671900000.0,11745100000.0,12236700000.0,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,14338500000.0,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753478261.0,6122959184.0,4735044707.0,3630668950.0,1255802469.0,1866572954.0,2786045322.0,3671909673.0,4116774301.0,4686256363.0,5567772769.0,5800615466.0,6728220887.0,8498894359.0,10156541538.0,11222796337.0,12864841906.0,15778734264.0,19112796623.0,17613949091.0,17176315804.0,18644233537.0,17226735996.0,18179108531.0,18558733564.0,16404348871.0,17116926328.0,18326373366.0,20484053869.0,20482608755.0,20226036564.0,23672712242.0,24534663636.0,27054889363.0,Europe & Central Asia,Upper middle income
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000000.0,16416666667.0,14952100840.0,13970425777.0,14756846154.0,14130585516.0,15221352699.0,12138243081.0,12736780455.0,12354820144.0,14594900945.0,17825444724.0,23141566293.0,30210091837.0,36961894281.0,45275711996.0,60752106347.0,50873167326.0,57231904543.0,61762382328.0,65685890439.0,75527558966.0,78812805039.0,56454889147.0,47723545321.0,54725302250.0,60031173808.0,64410122847.0,61371755326.0,69673747132.0,73775179925.0,71857382746.0,Europe & Central Asia,Upper middle income
Belize,BLZ,28072478.07,29964999.97,31857591.86,33750113.75,36194586.19,40110040.11,44450044.45,47431255.75,44999910.0,47399905.2,53339893.32,59074687.2,65998069.38,78214767.83,103160450.4,118194026.3,97094227.23,117650000.0,136300000.0,151800000.0,197938222.4,196089854.7,182206327.0,192103186.0,214381949.0,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,545686365.5,594975697.0,693625168.2,750018765.3,769649509.5,816491620.2,848205276.9,870861115.2,926550756.0,996906468.7,1134756761.0,1168127974.0,1240059540.0,1303381861.0,1394273991.0,1468145956.0,1584207353.0,1699214299.0,1731921564.0,1681473348.0,1739070295.0,1818831938.0,1899503250.0,2021757434.0,2125125606.0,2194709309.0,2240593543.0,2266664817.0,2292787336.0,2386792476.0,2047727810.0,2424575179.0,2830507576.0,3281500000.0,Latin America & Caribbean,Upper middle income
Bermuda,BMU,84466652.59,89249985.13,94149984.31,96366650.61,107566648.7,114339050.3,134173375.3,155102980.1,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7286607000.0,7827980000.0,7960000000.0,North America,High income
Bolivia,BOL,373250000.0,406000000.0,443916666.7,478000000.0,538583333.3,598333333.3,662500000.0,748250000.0,849333333.3,920333333.3,1006833333.0,1084666667.0,1286153846.0,1263600000.0,2101300000.0,2405900000.0,2733350000.0,3229050000.0,3760100000.0,4510500000.0,4450368037.0,5778487837.0,5600385568.0,5414008064.0,6169304492.0,5377276657.0,3959383520.0,4347956338.0,4597611710.0,4715973437.0,4867582598.0,5343262457.0,5643868749.0,5734699489.0,5981222859.0,6715161732.0,7396949126.0,7925736821.0,8497494652.0,8285064435.0,8397855485.0,8141516928.0,7905485146.0,8082399640.0,8773451752.0,9549122905.0,11451844902.0,13120108008.0,16674276286.0,17339992194.0,19649723722.0,23963164697.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,40406111693.0,44008282880.0,45849832906.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426000000000.0,385000000000.0,343000000000.0,328000000000.0,368000000000.0,525000000000.0,769000000000.0,850000000000.0,883000000000.0,864000000000.0,600000000000.0,655000000000.0,560000000000.0,510000000000.0,558000000000.0,669000000000.0,892000000000.0,1110000000000.0,1400000000000.0,1700000000000.0,1670000000000.0,2210000000000.0,2620000000000.0,2470000000000.0,2470000000000.0,2460000000000.0,1800000000000.0,1800000000000.0,2060000000000.0,1920000000000.0,1870000000000.0,1480000000000.0,1670000000000.0,1950000000000.0,2170000000000.0,Latin America & Caribbean,Upper middle income
Barbados,BRB,80021380.29,85363261.49,88782065.45,99893178.34,99252152.59,105021384.3,113194462.5,125553936.2,125733668.6,141393142.2,166210202.8,186824232.9,213723103.1,260770622.8,311809337.5,402178605.0,435911268.6,495097667.9,552883707.1,670362452.1,1012280615.0,1114204743.0,1163923830.0,1236016507.0,1346890071.0,1409536121.0,1547755183.0,1704370308.0,1812757918.0,2006165167.0,2012131457.0,2020583702.0,1957000000.0,2063342117.0,2151344901.0,2216974096.0,2363645403.0,2498384130.0,2817083478.0,2951822205.0,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,4534772750.0,4662343500.0,4622687600.0,4693452700.0,4711838650.0,4738650450.0,4848210350.0,5000457800.0,5128345200.0,5367139250.0,4779756550.0,4945276000.0,5840673700.0,6393564190.0,Latin America & Caribbean,High income
Brunei Darussalam,BRN,,,,,,114039500.6,132757528.0,139029537.2,160818235.9,161210236.4,179078929.3,197525767.8,270822782.0,433095526.7,1073591624.0,1168304306.0,1423037167.0,1732721161.0,1941579358.0,2803834158.0,4928806543.0,4366230383.0,4264202521.0,3844632167.0,3782553234.0,3523532486.0,2358574403.0,2754485672.0,2690684125.0,2985532273.0,3520487627.0,3701774189.0,4183632940.0,4105729021.0,4087220219.0,4734103536.0,5115454090.0,5197311972.0,4051142386.0,4600116699.0,6001282104.0,5601018684.0,5843368268.0,6557397070.0,7872202803.0,9531420028.0,11470464771.0,12247677994.0,14393434225.0,10732595016.0,13707280260.0,18525128526.0,19048443341.0,18094321617.0,17097802753.0,12930291488.0,11400466356.0,12128183904.0,13566937674.0,13469235365.0,12005799654.0,14006496617.0,16681536467.0,15128292954.0,East Asia & Pacific,High income
Bhutan,BTN,,,,,,,,,,,61812113.04,66289450.33,70139866.79,78900289.31,92901784.54,86820762.47,88461262.74,97884433.76,94086227.65,105377995.2,128669200.9,139174178.1,141439317.4,156704289.9,160423494.0,163288815.3,191218115.5,242742766.4,272298066.5,264798626.2,287765007.1,240294286.0,240233531.2,225973692.8,258954708.0,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,460733418.4,496110225.7,559345263.7,651935430.3,735348490.4,860391000.2,942879878.5,1255767964.0,1317517835.0,1331343798.0,1673464261.0,1938441289.0,1939730676.0,1913162477.0,2057330873.0,2154921011.0,2322730512.0,2591358115.0,2583335723.0,2735683409.0,2457604042.0,2768802803.0,2898227713.0,3112211939.0,South Asia,Lower middle income
Botswana,BWA,30411413.66,32902612.87,35644956.64,38091842.85,41616347.79,45788696.33,51465655.39,58642354.09,66248441.42,77361546.51,96243233.66,127448613.5,164460915.0,244124164.0,306044207.5,355168571.5,372025093.0,451624780.3,590407374.4,819870258.8,1060889704.0,1073812830.0,1014945696.0,1172230397.0,1240822167.0,1114783343.0,1392602164.0,1965226890.0,2644554159.0,3083822112.0,3790636324.0,3942876703.0,4146464587.0,4160129175.0,4259259604.0,4730599122.0,4847757218.0,5020265627.0,4790481509.0,5484263347.0,5788329609.0,5489608300.0,5438863983.0,7511582173.0,8957467707.0,9918907108.0,9919158482.0,10567270656.0,10730829116.0,10118459242.0,12637273429.0,15110643612.0,13907464500.0,14271738933.0,15470088501.0,13530748845.0,15082637184.0,16105155857.0,17031943186.0,16725908149.0,14960291106.0,18750946600.0,20321958850.0,19395765126.0,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,112155598.5,123134583.5,124482773.8,129379123.8,142025078.7,150574795.4,157930018.1,163820513.6,191767441.6,188039210.1,189106529.2,201450799.8,230317883.4,271183082.0,281398705.6,378660016.3,451152461.3,507298147.5,610578632.0,700764747.8,797048198.5,694803622.9,748312390.8,658679332.7,637820670.3,864849836.3,1122265013.0,1200991978.0,1264899288.0,1233930281.0,1440711459.0,1377374987.0,1411917553.0,1278781262.0,851174356.8,1115389674.0,1007791127.0,937741513.0,967338389.7,999477510.7,916777282.7,932648604.8,996068144.9,1142315523.0,1272360517.0,1337894379.0,1461859762.0,1699811295.0,1993407888.0,2067381665.0,2142591540.0,2437982705.0,2510126512.0,1691544110.0,1894813389.0,1695825714.0,1825018145.0,2072349973.0,2220979146.0,2221301351.0,2326720900.0,2516498412.0,2382618615.0,2555492085.0,Sub-Saharan Africa,Low income
Canada,CAN,40563768947.0,41038192838.0,42336211556.0,45140337827.0,49503663836.0,54649410479.0,61252415405.0,65856924424.0,72048833006.0,79405011125.0,88192257632.0,99606454744.0,113000000000.0,132000000000.0,161000000000.0,174000000000.0,207000000000.0,212000000000.0,219000000000.0,244000000000.0,275000000000.0,307000000000.0,315000000000.0,342000000000.0,357000000000.0,366000000000.0,379000000000.0,433000000000.0,509000000000.0,567000000000.0,596000000000.0,613000000000.0,594000000000.0,579000000000.0,580000000000.0,606000000000.0,631000000000.0,655000000000.0,634000000000.0,678000000000.0,745000000000.0,739000000000.0,761000000000.0,896000000000.0,1030000000000.0,1170000000000.0,1320000000000.0,1470000000000.0,1550000000000.0,1370000000000.0,1620000000000.0,1790000000000.0,1830000000000.0,1850000000000.0,1810000000000.0,1560000000000.0,1530000000000.0,1650000000000.0,1730000000000.0,1740000000000.0,1660000000000.0,2010000000000.0,2160000000000.0,2140000000000.0,North America,High income
Switzerland,CHE,10412232621.0,11713348834.0,12989649694.0,14283872299.0,15833133858.0,16780226225.0,18019402374.0,19397044714.0,20712102794.0,22442043274.0,24998066773.0,30040171751.0,36844318854.0,49550006320.0,57103011446.0,65466081819.0,68476524644.0,73135771167.0,102000000000.0,115000000000.0,123000000000.0,112000000000.0,115000000000.0,115000000000.0,109000000000.0,111000000000.0,159000000000.0,199000000000.0,216000000000.0,208000000000.0,266000000000.0,269000000000.0,280000000000.0,272000000000.0,301000000000.0,353000000000.0,340000000000.0,295000000000.0,303000000000.0,298000000000.0,279000000000.0,287000000000.0,309000000000.0,362000000000.0,404000000000.0,418000000000.0,442000000000.0,491000000000.0,567000000000.0,554000000000.0,599000000000.0,716000000000.0,686000000000.0,706000000000.0,727000000000.0,694000000000.0,688000000000.0,695000000000.0,726000000000.0,721000000000.0,742000000000.0,813000000000.0,818000000000.0,885000000000.0,Europe & Central Asia,High income
